"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4371471425","linkedin","https://www.linkedin.com/jobs/view/4371471425","","Data Analyst","TEKsystems","Berlin, CT","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/teksystems","","","","","","","","","","","",""
"li-4371467980","linkedin","https://www.linkedin.com/jobs/view/4371467980","","Data Analyst","Harnham","","","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/harnham","","","","","","","","","","","",""
"li-4371125002","linkedin","https://www.linkedin.com/jobs/view/4371125002","","Data Analyst","Stirista","Pompano Beach, FL","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/stirista-global","","","","","","","","","","","",""
"li-4371660913","linkedin","https://www.linkedin.com/jobs/view/4371660913","","Data Analyst","Mercor","","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/mercor-ai","","","","","","","","","","","",""
"li-4371644858","linkedin","https://www.linkedin.com/jobs/view/4371644858","","SQL Data Analyst (REMOTE EST)","Lensa","Boston, MA","","","","","","","",True,"","","","","","","https://www.linkedin.com/company/lensa","","","","","","","","","","","",""
"li-4371141608","linkedin","https://www.linkedin.com/jobs/view/4371141608","","Data Analyst","Haystack","New Jersey, United States","","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/wearehaystack","","","","","","","","","","","",""
"li-4363116020","linkedin","https://www.linkedin.com/jobs/view/4363116020","","Full-Time Senior Data Analyst - Remote (US)","Theoria Medical","Michigan, United States","","","","","","","",True,"","","","","","","https://www.linkedin.com/company/theoriamedical","","","","","","","","","","","",""
"li-4368446183","linkedin","https://www.linkedin.com/jobs/view/4368446183","","Senior Data Analyst","Bridge Professional Services","Chicago, IL","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/bridge-professional-services","","","","","","","","","","","",""
"li-4309802161","linkedin","https://www.linkedin.com/jobs/view/4309802161","","Data Insights Analyst","DataAnnotation","Rhode Island, United States","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/dataannotationtech","","","","","","","","","","","",""
"li-4317352123","linkedin","https://www.linkedin.com/jobs/view/4317352123","","Business Intelligence Intern","KPH HEALTHCARE SERVICES, INC","Syracuse, NY","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/kph-healthcare-services-inc","","","","","","","","","","","",""
"li-4326396233","linkedin","https://www.linkedin.com/jobs/view/4326396233","","Data Science Intern - Summer 2026","Bandwidth Inc.","Raleigh, NC","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/bandwidth-inc","","","","","","","","","","","",""
"li-4371645891","linkedin","https://www.linkedin.com/jobs/view/4371645891","","Junior Analyst","Lensa","Arlington, VA","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/lensa","","","","","","","","","","","",""
"li-4309816003","linkedin","https://www.linkedin.com/jobs/view/4309816003","","Data Insights Analyst","DataAnnotation","Michigan, United States","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/dataannotationtech","","","","","","","","","","","",""
"li-4371643848","linkedin","https://www.linkedin.com/jobs/view/4371643848","","Data Analyst","Lensa","Olympia, WA","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/lensa","","","","","","","","","","","",""
"li-4365145241","linkedin","https://www.linkedin.com/jobs/view/4365145241","","Business Data Analyst III: 26-00173","Akraya, Inc.","San Diego, CA","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/akraya-inc","","","","","","","","","","","",""
"li-4363210290","linkedin","https://www.linkedin.com/jobs/view/4363210290","","Global Digital and Analytics Rotation Analyst","Chubb","Philadelphia, PA","","","","","","","",False,"","","","","","","https://ch.linkedin.com/company/chubb","","","","","","","","","","","",""
"li-4309695787","linkedin","https://www.linkedin.com/jobs/view/4309695787","","Data Insights Analyst","DataAnnotation","Arkansas, United States","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/dataannotationtech","","","","","","","","","","","",""
"li-4309810218","linkedin","https://www.linkedin.com/jobs/view/4309810218","","Data Insights Analyst","DataAnnotation","South Dakota, United States","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/dataannotationtech","","","","","","","","","","","",""
"li-4370864090","linkedin","https://www.linkedin.com/jobs/view/4370864090","","Data Analyst 1/Trainee","NYS Office of Information Technology Services","Albany, NY","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/nys-office-of-information-technology-services","","","","","","","","","","","",""
"li-3945876581","linkedin","https://www.linkedin.com/jobs/view/3945876581","","Data Integration Analyst","Aligned Solutions","","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/aligned-solutions-us","","","","","","","","","","","",""
"li-4371413253","linkedin","https://www.linkedin.com/jobs/view/4371413253","","Operations Data Analyst","Applicantz","Tualatin, OR","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/applicantz-com","","","","","","","","","","","",""
"li-4371182501","linkedin","https://www.linkedin.com/jobs/view/4371182501","","Clinical Reporting Analyst","TRC Talent Solutions","","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/trc-talent-solutions","","","","","","","","","","","",""
"li-4365132204","linkedin","https://www.linkedin.com/jobs/view/4365132204","","Formulation Systems Data Analyst (Two month contract)","Maesa","New York, NY","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/maesa","","","","","","","","","","","",""
